_id,_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
f9065c14b96ae492fb62924acb115521,d04fe28078bb087996351d7a6d0c20d1,39ddbff0638271cd2eb7793af1c91237,360008105117,40.814840000000000,-73.945051000000000,New York City,NY,10030,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Other,highest poverty,Grades 3-5,,,,,250.00,304.88,0,250.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
518fb1907db55505b596a8398102c5bf,9c214c58003f1d4c82261404b8bbfcf5,5a9ef14b90dbae7cc682dfdea85977e1,360007802655,40.771709000000000,-73.987174000000000,New York City,NY,10023,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,110.00,134.15,0,121.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
53a4c3e090eddb4c3998225605dee28a,cde555e62f2f2106025e6b9dddab6de6,753da3d93696fdaa9f6834400cd50390,360007700700,40.709239000000000,-74.012173000000000,New York City,NY,10006,urban,New York City Dept Of Ed,New York (Manhattan),f,t,f,f,f,f,Ms.,f,f,Character Education,Applied Learning,,,Books,highest poverty,Grades 9-12,,,,,2100.00,2560.98,0,2100.00,2,f,f,completed,2002-09-19 00:00:00,2003-02-07 00:00:00,2003-02-13 00:00:00,2003-12-31 00:00:00
56268cccb45e1919dd6380babc7cbc24,4b0936ebaa7663db18fa0acebbb57d61,60c6dfd6e80550a641188c4c8ab72f03,360013503340,40.763909000000000,-73.985692000000000,New York City,NY,10019,urban,New York City Dept Of Ed,New York (Manhattan),f,f,t,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,510.00,621.95,0,561.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-12-18 00:00:00,2003-12-31 00:00:00
56b5114f3bb47c247cb04e37f5394a7d,8ba8ae16f794598307095df5b5c67ce0,53e668061469bd44c45453aef8d88fdd,360007702184,40.735510000000000,-73.998921000000000,New York City,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Other,Applied Learning,,,Supplies,low poverty,Grades PreK-2,,,,,415.00,506.10,0,480.00,3,f,f,completed,2002-09-19 00:00:00,2003-07-18 00:00:00,2004-01-20 00:00:00,2003-10-01 00:00:00
5d00002a53d4c96567c614c0a90bef4c,672bfbc2e05e5818b22398b4fd1ce9e7,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Environmental Science,Math & Science,,,Supplies,highest poverty,Grades 9-12,,,,,1610.00,1963.41,0,1610.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-23 00:00:00,2003-02-21 00:00:00,2003-12-31 00:00:00
5e80a5c986ab87e30fe765ee8e14a87d,245df54227bf7883bcfa5d660e69eff6,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 6-8,,,,,246.00,300.00,0,270.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
5f67686fed9f2e1ac83c6ffc95006444,0ecb3b20851102bf9aac6c3143920dea,7ead962f287a98571811204a0e1c9e42,360007902919,40.792938000000000,-73.947174000000000,New York City,NY,10029,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,,,Books,highest poverty,Grades 9-12,,,,,1419.00,1730.49,0,1243.40,5,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-12-16 00:00:00,2003-12-31 00:00:00
622d07c95c655f56277030c1dfc70696,ac3d575cd2d7a58063677162afd90f7d,5f4bef33b0e38aaaeb322025e8da42cf,360008602528,40.827859000000000,-73.914261000000000,New York City,NY,10456,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,t,f,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,,,,,238.00,290.24,0,238.00,1,f,f,completed,2002-09-19 00:00:00,2002-09-19 00:00:00,2002-09-19 00:00:00,2003-12-31 00:00:00
63eaeb3338e991c4fe012bff4e76b54f,6ace63f88c1e30fa52e57a6ea1999ecd,6f0382325857ae3469d04800c470c509,,40.753002000000000,-73.992409000000000,New York City,NY,10018,,,New York (Manhattan),f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Technology,low poverty,Grades PreK-2,,,,,425.00,518.29,0,0.00,0,f,f,completed,2002-09-19 00:00:00,2002-09-23 00:00:00,2004-01-28 00:00:00,2003-12-31 00:00:00
